,variable,label,acs
0,geoid,FIPS code,
1,n_mexican_pop,persons of Mexican parentage or ancestry,B03001_004E
2,n_cuban_pop,persons of Cuban parentage or ancestry,B03001_006E
3,n_puerto_rican_pop,persons of Puerto Rican parentage or ancestry,B03001_005E
4,n_russian_pop,persons of Russian/USSR parentage or ancestry,B04004_064E
5,n_italian_pop,persons of Italian parentage or ancestry,B04004_051E
6,n_german_pop,persons of German parentage or ancestry,B04004_042E
7,n_irish_pop,persons of Irish parentage or ancestry,B04004_049E
8,n_scandaniavian_pop,persons of Scandinavian parentage/ancestry,B04004_065E
9,n_total_pop_sample,total population from sample-based data,
10,n_foreign_born_pop,foreign-born,B05002_013E
11,n_recent_immigrant_pop,recent immigrants (within the past 10 years),B05005_007E
12,n_naturalized_pop,naturalized foreign-born,B05002_014E
13,n_age_5_older,persons 5 years and over,B16001_001E
14,n_other_language,persons who speak language other than English at home,B16001_001E - B16001_002E
15,n_limited_english,persons who speak English not well,DP02_0113E
16,n_russian_born_pop,persons who were born in Russia/ USSR,B05006_040E
17,n_italian_born_pop,persons who were born in Italy,B05006_023E
18,n_german_born_pop,persons who were born in Germany,B05006_017E
19,n_irish_born_pop,persons who were born in Ireland,B05006_008E
20,n_scandaniavian_born_pop,persons who were born in Scandinavian Countries,B05006_009E+B05006_010E+B05006_011E+B05006_012E
21,p_mexican_pop,percentage of persons of Mexican parentage or ancestry,
22,p_cuban_pop,percentage of persons of Cuban parentage or ancestry,
23,p_puerto_rican_pop,percentage of persons of Puerto Rican parentage or ancestry,
24,p_russian_pop,percentage of persons of Russian/USSR parentage or ancestry,
25,p_italian_pop,percentage of persons of Italian parentage or ancestry,
26,p_german_pop,percentage of persons of German parentage or ancestry,
27,p_irish_pop,percentage of persons of Irish parentage or ancestry,
28,p_scandanavian_pop,percentage of persons of Scandinavian parentage/ancestry,
29,p_foreign_born_pop,percentage of foreign-born,
30,p_recent_immigrant_pop,percentage of recent immigrants (within the past 10 years),
31,p_naturalized_pop,percentage of naturalized foreign-born,
32,p_other_language,percentage of persons who speak language other than English at home,
33,p_limited_english,percentage of persons who speak English not well,
34,p_russian_born_pop,percentage of persons who were born in Russia/ USSR,
35,p_italian_born_pop,percentage of persons who were born in Italy,
36,p_german_born_pop,percentage of persons who were born in Germany,
37,p_irish_born_pop,percentage of persons who were born in Ireland,
38,p_scandanavian_born_pop,percentage of persons who were born in Scandinavian Countries,
39,n_total_housing_units,housing units,B25002_001E
40,n_vacant_housing_units,vacant housing units,B25002_003E
41,n_occupied_housing_units,occupied housing units,B25002_002E
42,n_owner_occupied_housing_units,owner-occupied housing units,B25003_002E
43,n_renter_occupied_housing_units,renter-occupied housing units,B25003_003E
44,n_housing_units_multiunit_structures_denom,housing units denom,B25024_001E
45,n_housing_units_multiunit_structures,housing units in multi-unit structures,B25024_004E+B25024_005E+B25024_006E+B25024_007E+B25024_008E+B25024_009E
46,n_total_housing_units_sample,housing units in sample-based data,B25024_001E
47,median_home_value,Median home value,B25077_001E
48,median_contract_rent,Median monthly contract rent,B25058_001E
49,n_structures_30_old,structures built more than 30 years ago,
50,n_occupied_housing_units_sample,occupied housing units in sample-based data,B25003_001E
51,n_household_recent_move,household heads moved into unit less than 10 years ago,
52,n_persons_under_18,persons age 17 years and under,B01001_003E+B01001_004E+B01001_005E+B01001_006E+B01001_027E+B01001_028E+B01001_029E+B01001_030E
53,n_persons_over_60,persons age 60 years and over,B01001_018E+B01001_019E+B01001_020E+B01001_021E+B01001_022E+B01001_023E+B01001_024E+B01001_025E+B01001_042E+B01001_043E+B01001_044E+B01001_045E+B01001_046E+B01001_047E+B01001_048E+B01001_049E
54,n_persons_over_75,persons age 75 years and over,B01001_047E+B01001_048E+B01001_049E+B01001_023E+B01001_024E+B01001_025E
55,n_persons_over_15,population 15 years and over,B12001_001E
56,n_persons_over_25,population 25 years and over,B15002_001E
57,n_married,currently married (excluding separated),B12001_005E
58,n_widowed_divorced,"widowed, divorced, and separated",B12001_007E+B12001_009E+B12001_010E+B12001_016E+B12001_018E+B12001_019E
59,n_total_families,total families,B17010_001E
60,n_female_headed_families,female-headed families with children,B17010_017E
61,p_vacant_housing_units,percentage of vacant housing units,
62,p_owner_occupied_units,percentage of owner-occupied housing units,
63,p_housing_units_multiunit_structures,percentage of housing units in multi-unit structures,
64,p_structures_30_old,percentage of structures built more than 30 years ago,
65,p_household_recent_move,percentage of household heads moved into unit less than 10 years ago,
66,p_persons_under_18,percentage of persons age 17 years and under,
67,p_persons_over_60,percentage of persons age 60 years and over,
68,p_persons_over_75,percentage of persons age 75 years and over,
